step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy,train_mean_reward,full_validation_mean_reward
749,0.03204,0.98206,,,,
750,0.02423,0.98571,1.00E-05,1,,
751,0.00087,1,,,,
752,0.02307,0.98928,,,,
753,0.04094,0.99628,,,,
754,0.00894,0.99667,,,,
755,0.05623,0.98214,,,,
756,0.01734,0.98851,,,,
757,0.01351,0.99756,,,,
758,0.01639,0.99265,,,,
759,0.00032,1,,,,
760,0.00397,1,0.02569,0.98462,,
761,3.00E-05,1,,,,
762,0.03122,0.98529,,,,
763,0.01008,0.99615,,,,
764,0.01558,0.9913,,,,
765,0.01774,0.99286,,,,
766,0.01083,0.99281,,,,
767,1.00E-05,1,,,,
768,0.04603,0.9759,,,,
769,0.00218,1,,,,
770,0.0012,1,0.03308,0.99412,,
771,0.01019,0.99502,,,,
772,0.02419,0.99375,,,,
773,1.00E-05,1,,,,
774,1.00E-05,1,,,,
775,0.04377,0.99004,,,,
776,0.03695,0.97842,,,,
777,0.02732,0.98065,,,,
778,0.03582,0.98892,,,,
779,0.07415,0.98485,,,,
780,0.01404,0.995,1.00E-05,1,,
781,0.01103,0.99571,,,,
782,0.01522,0.99194,,,,
783,0.00805,0.99604,,,,
784,0.06899,0.98649,,,,
785,0.04378,0.98039,,,,
786,0.00043,1,,,,
787,0.03595,0.98176,,,,
788,1.00E-05,1,,,,
789,0.01493,0.99582,,,,
790,0.00531,0.99776,0.05604,0.97931,,
791,0.01408,0.99371,,,,
792,0.02724,0.99189,,,,
793,0.02331,0.98923,,,,
794,0.03616,0.98315,,,,
795,0.01957,0.99556,,,,
796,0.05055,0.9845,,,,
797,0.00221,1,,,,
798,0.00316,1,,,,
799,0.02674,0.98596,,,,
800,0.06563,0.98155,0.03201,0.98361,,
801,3.00E-05,1,,,,
802,0.0002,1,,,,
803,0.01831,0.99306,,,,
804,0.00239,1,,,,
805,0.00187,1,,,,
806,7.00E-05,1,,,,
807,0.00048,1,,,,
808,0.00044,1,,,,
809,0.00815,0.99685,,,,
810,0.00268,1,0.06293,0.97863,,
811,0.00219,1,,,,
812,0.02718,0.98873,,,,
813,1.00E-05,1,,,,
814,0.01189,0.99388,,,,
815,0.01527,0.99424,,,,
816,0.02836,0.98615,,,,
817,1.00E-05,1,,,,
818,0.03995,0.99286,,,,
819,0.02467,0.98907,,,,
820,0.01259,0.99206,0.04144,0.97596,,
821,0.00076,1,,,,
822,0.01584,0.99097,,,,
823,0.04239,0.98837,,,,
824,0.06102,0.98039,,,,
825,0.02598,0.98137,,,,
826,0.02704,0.99283,,,,
827,0.02,0.99085,,,,
828,0.01295,0.99725,,,,
829,0.045,0.99103,,,,
830,0.02238,0.9898,0.07857,0.9697,,
831,0.02531,0.99076,,,,
832,0.05592,0.96804,,,,
833,0.06151,0.97674,,,,
834,0.00252,1,,,,
835,0.00035,1,,,,
836,0.00371,1,,,,
837,0.02518,0.9863,,,,
